regulon,target_gene
ATF3(+),CCDC59
ATF3(+),GOLGB1
ATF3(+),GOSR1
ATF3(+),SIK2
ATF3(+),JMJD6
ATF3(+),LSM14A
ATF3(+),HNRNPH3
ATF3(+),MTMR3
ATF3(+),KDM5C
ATF3(+),KANSL2
ATF3(+),WASL
ATF3(+),AUP1
ATF3(+),KDM5B
ATF3(+),SF3A1
ATF3(+),RNF40
ATF3(+),DNLZ
ATF3(+),MAP3K4
ATF3(+),IP6K1
ATF3(+),CCDC6
ATF3(+),UHRF1BP1L
ATF3(+),FPGS
ATF3(+),SRSF7
ATF3(+),ATP2A2
ATF3(+),PTOV1
ATF3(+),NFKBIB
ATF3(+),SMG7
ATF3(+),NCOR1
ATF3(+),TUBB4B
ATF3(+),ZNF644
ATF3(+),GIGYF2
ATF3(+),SAFB2
ATF3(+),SRRM2
ATF3(+),TIAL1
ATF3(+),RPL17
ATF3(+),ARID4A
ATF3(+),DOHH
ATF3(+),SF3B4
ATF3(+),EZR
ATF3(+),ZNF207
ATF3(+),HUWE1
ATF3(+),TMEM131
ATF3(+),LRRC59
ATF3(+),PUM2
ATF3(+),MAP1A
ATF3(+),KIF5B
ATF3(+),BOD1L1
ATF3(+),EMSY
ATF3(+),TMED10
ATF3(+),RBM5
ATF3(+),GID8
ATF3(+),DCAF8
ATF3(+),VDAC2
ATF3(+),KMT5B
ATF3(+),INO80
ATF3(+),POLR3D
ATF3(+),HNRNPL
ATF3(+),WBP11
ATF3(+),CHD4
ATF3(+),IST1
ATF3(+),U2AF1
ATF3(+),PPIA
ATF3(+),POLR1E
ATF3(+),SAFB
ATF3(+),PPP4R3B
ATF3(+),MYCBP2
ATF3(+),HIF1A
ATF3(+),MTF2
ATF3(+),KRBOX4
ATF3(+),SLC2A1
ATF3(+),EIF4G1
ATF3(+),GNAI2
ATF3(+),CHIC2
ATF3(+),NIPBL
ATF3(+),FBXO11
ATF3(+),ASB3
ATF3(+),PLAG1
ATF3(+),YWHAB
ATF3(+),SHROOM4
ATF3(+),RBMS1
ATF3(+),UBE2D2
ATF3(+),FST
ATF3(+),ID2
ATF3(+),HEY1
ATF3(+),YAP1
ATF3(+),SAV1
ATF3(+),MED26
ATF3(+),PTP4A2
ATF3(+),RB1CC1
ATF3(+),SMARCD3
ATF3(+),IER5L
ATF3(+),NECTIN3
ATF3(+),TSC22D1
ATF3(+),DNAJC21
